subsample_ratio;accuracy;f1;iteration
 0.0100000000; 59.091; 54.749;9
 0.0000100000; 51.010; 43.275;58
 0.0001000000; 60.101; 55.866;1
 0.0003162000; 67.172; 63.277;9
 0.0003162000; 58.081; 58.291;60
 0.0031620000; 67.172; 66.321;16
 0.0100000000; 58.081; 50.299;42
 0.0000100000; 50.000; 40.719;53
 0.0001000000; 56.061; 49.711;17
 0.0003162000; 56.566; 51.685;20
 0.0010000000; 60.606; 58.947;2
 0.0031620000; 59.091; 56.216;18
 0.0100000000; 62.121; 59.016;32
 0.0000100000; 53.030; 48.045;43
 0.0001000000; 61.111; 58.824;18
 0.0003162000; 60.101; 57.297;41
 0.0031620000; 60.606; 57.143;3
 0.0100000000; 52.020; 46.328;22
 0.0000100000; 51.010; 43.931;46
 0.0001000000; 57.576; 52.809;4
 0.0003162000; 55.051; 51.892;16
 0.0010000000; 52.020; 45.714;7
 0.0031620000; 58.586; 58.163;19
 0.0100000000; 54.040; 48.000;33
 0.0000100000; 53.535; 48.315;25
 0.0001000000; 57.576; 50.588;16
 0.0003162000; 61.111; 56.497;38
 0.0010000000; 60.606; 58.065;16
 0.0031620000; 62.121; 58.101;29
 0.0100000000; 60.101; 53.801;41
 0.0000100000; 53.030; 46.243;21
 0.0000316200; 59.091; 53.179;51
 0.0003162000; 59.596; 58.763;32
 0.0010000000; 62.626; 60.215;60
 0.0100000000; 57.576; 55.319;3
 0.0000100000; 61.111; 59.259;41
 0.0000316200; 57.576; 54.839;39
 0.0003162000; 59.596; 56.522;12
 0.0010000000; 64.141; 59.887;51
 0.0100000000; 61.616; 54.762;18
 0.0000100000; 60.101; 55.367;9
 0.0001000000; 57.576; 55.319;8
 0.0003162000; 53.535; 49.451;46
 0.0031620000; 56.566; 53.763;5
 0.0100000000; 51.010; 46.409;23
 0.0000100000; 59.091; 55.249;26
 0.0000316200; 57.576; 53.333;43
 0.0003162000; 63.131; 59.218;47
 0.0031620000; 61.616; 55.814;4
 0.0100000000; 59.596; 56.989;15
 0.0000100000; 54.040; 52.356;30
 0.0000316200; 58.586; 49.383;29
 0.0001000000; 55.556; 53.191;38
 0.0003162000; 56.566; 51.136;57
 0.0031620000; 58.586; 55.435;15
 0.0100000000; 55.051; 51.366;38
 0.0000100000; 56.061; 50.286;32
 0.0000316200; 58.081; 50.299;44
 0.0001000000; 55.556; 50.000;62
 0.0010000000; 61.616; 58.242;36
 0.0031620000; 57.071; 51.429;53
 0.0100000000; 63.636; 61.290;48
 0.0000100000; 56.061; 50.847;45
 0.0000316200; 51.010; 42.604;48
 0.0001000000; 65.657; 62.637;48
 0.0010000000; 58.081; 54.645;58
 0.0100000000; 60.606; 57.143;19
 0.0000316200; 54.040; 49.724;6
 0.0000316200; 61.111; 57.459;37
 0.0003162000; 62.121; 56.647;44
 0.0010000000; 56.061; 50.286;54
 0.0100000000; 54.545; 50.549;14
 0.0000100000; 58.081; 55.135;48
 0.0001000000; 57.576; 52.273;19
 0.0003162000; 59.596; 55.556;8
 0.0003162000; 58.081; 56.545;63
 0.0031620000; 58.586; 55.435;23
 0.0100000000; 63.636; 60.000;39
 0.0000100000; 56.566; 52.747;16
